,Age,Birth_Place,Birthdate,Collage,Experience,First_Name,Height,Pos,Surname,Team,Weight,BMI
0,33,mk,"July 29, 1982",,1,Pero,207.5,PF,Antic,ATL,117,27.17375526
1,26,us,"July 1, 1989",Old Dominion University,2,Kent,192.5,SG,Bazemore,ATL,90.45,24.40883792
2,36,us,"March 11, 1979",Duke University,15,Elton,200,C,Brand,ATL,123.75,30.9375
3,29,us,"July 27, 1986",University of Missouri,5,DeMarre,200,SF,Carroll,ATL,96.75,24.1875
4,27,us,"June 5, 1988",Gonzaga University,5,Austin,207.5,SF,Daye,ATL,99,22.99317753
5,29,do,"June 3, 1986",University of Florida,7,Al,205,C,Horford,ATL,110.25,26.2343843
6,24,us,"March 6, 1991",Vanderbilt University,2,John,190,SG,Jenkins,ATL,96.75,26.80055402
7,34,us,"March 17, 1981",Creighton University,11,Kyle,197.5,SG,Korver,ATL,95.4,24.45761897
8,25,us,"April 22, 1990",Butler University,3,Shelvin,187.5,PG,Mack,ATL,91.35,25.984
9,30,us,"February 10, 1985",Louisiana Tech University,8,Paul,200,PF,Millsap,ATL,110.7,27.675
10,24,us,"July 1, 1991",Bucknell University,1,Mike,207.5,PF,Muscala,ATL,108,25.0834664
11,24,us,"February 19, 1991",Michigan State University,R,Adreian,205,PF,Payne,ATL,106.65,25.37775134
12,22,de,"September 15, 1993",,1,Dennis,182.5,PG,Schroder,ATL,77.4,23.23888159
13,27,us,"July 16, 1988",University of Virginia,2,Mike,200,PF,Scott,ATL,106.65,26.6625
14,31,ch,"May 2, 1984",,8,Thabo,197.5,SF,Sefolosha,ATL,99,25.38054799
15,27,us,"June 10, 1988",Wake Forest University,5,Jeff,185,PG,Teague,ATL,83.7,24.45580716
16,30,us,"April 30, 1985",Louisiana State University,9,Brandon,200,PF,Bass,BOS,112.5,28.125
17,25,us,"November 26, 1990",University of Texas at Austin,4,Avery,185,SG,Bradley,BOS,81,23.66691015
18,25,us,"July 6, 1990",Marquette University,2,Jae,195,SF,Crowder,BOS,105.75,27.81065089
19,28,it,"November 27, 1987",,1,Luigi,200,SF,Datome,BOS,96.75,24.1875
20,29,us,"August 28, 1986",Georgetown University,6,Jeff,202.5,SF,Green,BOS,105.75,25.78875171
21,28,se,"March 2, 1987",,4,Jonas,205,PF,Jerebko,BOS,103.95,24.73527662
22,33,us,"February 9, 1982",Saint Joseph's University,10,Jameer,180,PG,Nelson,BOS,85.5,26.38888889
23,24,ca,"April 19, 1991",Gonzaga University,1,Kelly,210,C,Olynyk,BOS,107.1,24.28571429
24,24,ca,"July 20, 1991",Stanford University,R,Dwight,207.5,PF,Powell,BOS,108,25.0834664
25,24,us,"February 17, 1991",University of Missouri,1,Phil,177.5,PG,Pressey,BOS,78.75,24.99504067
26,35,us,"February 28, 1980",University of Kentucky,12,Tayshaun,202.5,SF,Prince,BOS,95.4,23.26474623
27,32,us,"November 24, 1983",Duke University,7,Shavlik,205,PF,Randolph,BOS,108,25.6989887
28,29,us,"February 22, 1986",University of Kentucky,8,Rajon,182.5,PG,Rondo,BOS,83.7,25.13041847
29,21,us,"March 6, 1994",Oklahoma State University,R,Marcus,190,PG,Smart,BOS,99,27.42382271
30,23,us,"March 4, 1992",Ohio State University,2,Jared,202.5,PF,Sullinger,BOS,117,28.53223594
31,26,us,"February 7, 1989",University of Washington,3,Isaiah,172.5,PG,Thomas,BOS,83.25,27.97731569
32,33,us,"October 16, 1982",Michigan State University,5,Alan,195,SG,Anderson,NJN,99,26.03550296
33,26,ba,"April 18, 1989",,R,Bojan,200,SF,Bogdanovic,NJN,97.2,24.3
34,23,us,"January 29, 1992",Oklahoma State University,R,Markel,187.5,SG,Brown,NJN,85.5,24.32
35,27,us,"January 17, 1988",University of Louisville,5,Earl,205,PF,Clark,NJN,101.25,24.0928019
36,24,us,"July 25, 1991",Brigham Young University,1,Brandon,205,PF,Davies,NJN,108,25.6989887
37,39,us,"May 19, 1976",,19,Kevin,207.5,PF,Garnett,NJN,108,25.0834664
38,27,mx,"December 27, 1988",University of California,1,Jorge,187.5,PG,Gutierrez,NJN,85.95,24.448
39,32,us,"October 28, 1983",Georgia Institute of Technology,9,Jarrett,187.5,PG,Jack,NJN,90,25.6
40,25,us,"December 26, 1990",Baylor University,R,Cory,202.5,PF,Jefferson,NJN,98.1,23.92318244
41,34,us,"June 29, 1981",University of Arkansas,13,Joe,197.5,SG,Johnson,NJN,108,27.68787053
42,29,jm,"September 29, 1986",University of Tulsa,1,Jerome,210,C,Jordan,NJN,113.85,25.81632653
43,22,ru,"October 26, 1993",,1,Sergey,197.5,SG,Karasev,NJN,93.6,23.99615446
44,34,ru,"February 18, 1981",,12,Andrei,202.5,SF,Kirilenko,NJN,99,24.14266118
45,27,us,"April 1, 1988",Stanford University,6,Brook,210,C,Lopez,NJN,123.75,28.06122449
46,24,us,"January 3, 1991",University of Michigan,3,Darius,190,PG,Morris,NJN,85.5,23.68421053
47,25,us,"March 5, 1990",Duke University,1,Mason,207.5,C,Plumlee,NJN,110.25,25.60603861
48,23,cd,"August 28, 1992",,3,Bismack,202.5,C,Biyombo,CHA,114.75,27.98353909
49,24,us,"July 15, 1991",Virginia Commonwealth University,1,Troy,190,SG,Daniels,CHA,92.25,25.55401662
50,23,us,"December 24, 1992",University of North Carolina,R,P.J.,195,SG,Hairston,CHA,103.5,27.21893491
51,28,us,"December 9, 1987",Duke University,5,Gerald,192.5,SG,Henderson,CHA,96.75,26.10895598
52,30,us,"January 4, 1985",,10,Al,205,C,Jefferson,CHA,130.05,30.94586556
